;0
0;IMDb Charts
1;1. Cadena perpetua
2;2. El padrino
3;3. El caballero oscuro
4;4. El padrino parte II
5;5. 12 hombres sin piedad
6;6. El señor de los anillos: El retorno del rey
7;7. La lista de Schindler
8;8. Pulp Fiction
9;9. El señor de los anillos: La comunidad del anillo
10;10. El bueno, el feo y el malo
11;11. Forrest Gump
12;12. El señor de los anillos: Las dos torres
13;13. El club de la lucha
14;14. Origen
15;15. El imperio contraataca
16;16. Matrix
17;17. Uno de los nuestros
18;18. Alguien voló sobre el nido del cuco
19;19. Interstellar
20;20. Seven
21;21. ¡Qué bello es vivir!
22;22. Los siete samuráis
23;23. El silencio de los corderos
24;24. Salvar al soldado Ryan
25;25. Ciudad de Dios
26;Recently viewed
